token,symbol,name,exch,instrument_type,lot_size,tick_size,updated_at
513513,ADITYA,ADITYA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
521141,ADITYASP,ADITYASP,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543231,ADL,ADL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
524604,ADLINE,ADLINE,BSE,,100,0.01,2026-07-05 08:48:17.051738+00
544669,ADMACH,ADMACH,BSE,,600,0.05,2026-07-05 08:48:17.051738+00
511359,ADMANUM,ADMANUM,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
517041,ADOR,ADOR,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532172,ADROITINFO,ADROITINFO,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
523031,ADSDIAG,ADSDIAG,BSE,,100,0.01,2026-07-05 08:48:17.051738+00
532875,ADSL,ADSL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544185,ADTECH,ADTECH,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543230,ADVAIT,ADVAIT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544562,ADVANCE,ADVANCE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
523269,ADVANIHOTR,ADVANIHOTR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544446,ADVENTHTL,ADVENTHTL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
540025,ADVENZYMES,ADVENZYMES,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539773,ADVIKCA,ADVIKCA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
521048,ADVLIFE,ADVLIFE,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
526331,ADVMULT,ADVMULT,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
506947,ADVPETR-B,ADVPETR-B,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
500003,AEGISLOG,AEGISLOG,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544407,AEGISVOPAK,AEGISVOPAK,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526443,AEIM,AEIM,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539196,AEL,AEL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
524594,AEONXDIGI,AEONXDIGI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
542670,AEPL,AEPL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544634,AEQUS,AEQUS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
511076,AEROENTER,AEROENTER,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543972,AEROFLEX,AEROFLEX,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543743,AERONEU,AERONEU,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
534733,AERPACE,AERPACE,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543534,AETHER,AETHER,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544224,AFCOM,AFCOM,BSE,,120,0.05,2026-07-05 08:48:17.051738+00
544280,AFCONS,AFCONS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
538351,AFEL,AFEL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
542752,AFFLE,AFFLE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
541402,AFFORDABLE,AFFORDABLE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544200,AFIL,AFIL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544767,AFLTD,AFLTD,BSE,,3000,0.01,2026-07-05 08:48:17.051738+00
543712,AFSL,AFSL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
531921,AGARIND,AGARIND,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
530765,AGARWAL,AGARWAL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544350,AGARWALEYE,AGARWALEYE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
500187,AGI,AGI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
539042,AGIIL,AGIIL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
516020,AGIOPAPER,AGIOPAPER,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544602,AGL,AGL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
542579,AGOL,AGOL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539546,AGRIBIO,AGRIBIO,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
537292,AGRITECH,AGRITECH,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
506579,AGVENTURES,AGVENTURES,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543941,AHASOLAR,AHASOLAR,BSE,,400,0.01,2026-07-05 08:48:17.051738+00
544497,AHCL,AHCL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
533227,AHLEAST,AHLEAST,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532811,AHLUCONT,AHLUCONT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
533221,AHLWEST,AHLWEST,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
522273,AHMDSTE,AHMDSTE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532683,AIAENG,AIAENG,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532806,AICHAMP,AICHAMP,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
542524,AIHL,AIHL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539177,AIIL,AIIL,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544072,AIKPIPES,AIKPIPES,BSE,,800,0.01,2026-07-05 08:48:17.051738+00
524288,AIMCOPEST,AIMCOPEST,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
534064,AIML,AIML,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
543811,AIRAN,AIRAN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544516,AIRFLOA,AIRFLOA,BSE,,500,0.05,2026-07-05 08:48:17.051738+00
532331,AJANTPHARM,AJANTPHARM,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
519216,AJANTSOY,AJANTSOY,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544356,AJAXENGG,AJAXENGG,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544425,AJCJEWEL,AJCJEWEL,BSE,,1200,0.01,2026-07-05 08:48:17.051738+00
